sku,description,image,manufacturer,meta_description,meta_title,name,name_original,price,short_description,weight
ACC101A1B,"Este recinto es compatible con el <a href=""http://www.seeedstudio.com/depot/seeeduino-stalker-v2b-p-727.html?cPath=132_133"">Seeeduino Espía v2</a>, diseño a prueba de agua, resistente. Puede montar su Seeeduino Espía v2 a este recinto con muchos otros sensores. También tiene un techo transparente por lo que incluso puede colocar una celda solar.
 
 <br> 
	Los tornillos necesarios están incluidos.
 <br> 
 <br> 
	Dimensiones: 50 (H) x 68 (W) x 100 (D) (mm)
 <br><br><br><br>Seeeduino Stalker v2 enclosure<br>Producto diseñado por: <a href=""http://www.seeedstudio.com""><b>Seeed Studio</b></a><br>Mas información disponible en: <a href=""""><b>Seeed Studio</b></a>Este recinto es compatible con el , diseño a prueba de agua, resistente. Puede montar su Seeeduino Espía v2 a este recinto con muchos otros sensores. También tiene un techo transparente por lo que incluso puede colocar una celda solar.
Los tornillos n",/a/c/acc101a1b.jpg,Seeed Studio,"Este recinto es compatible con el , diseño a prueba de agua, resistente. Puede montar su Seeeduino Espía v2 a este recinto con muchos otros sensores. También tiene un techo transparente por lo que incluso puede colocar una celda solar.
Los tornillos n",Recinto para Seeeduino Espía v2 - Silicio.mx,Recinto para Seeeduino Espía v2,Seeeduino Stalker v2 enclosure,81,"Este recinto es compatible con el , diseño a prueba de agua, resistente. Puede montar su Seeeduino Espía v2 a este recinto con muchos otros sensores. También tiene un techo transparente por lo que incluso puede colocar una celda solar.
Los tornillos necesarios están incluidos.",100
ACC12159O," 
	Utilice este cable para conectar dos servo motores al sistema Grove con sólo un cable. Compatible con <a href=""http://www.seeedstudio.com/depot/rb421-servo-2-pcs-pack-p-652.html?cPath=170_171"">RB-421</a> , <a href=""http://www.seeedstudio.com/depot/super-strong-metal-core-servo-mg995-p-653.html?cPath=170_171"">MG-995</a> , <a href=""http://www.seeedstudio.com/depot/towerpro-airplane-9g-sg90-mini-servo-p-654.html?cPath=170_171"">SG-90</a> , <a href=""http://www.seeedstudio.com/depot/towerpro-sg5010-servo-p-655.html?cPath=170_171"">SG-5010</a>.
 <br><br><br>Grove Branch Cable for Servo(5PCs pack)<br>Producto diseñado por: <a href=""http://www.seeedstudio.com""><b>Seeed Studio</b></a><br>Mas información disponible en: <a href=""""><b>Seeed Studio</b></a>Utilice este cable para conectar dos servo motores al sistema Grove con sólo un cable.",/a/c/acc12159o.jpg,Seeed Studio,Utilice este cable para conectar dos servo motores al sistema Grove con sólo un cable.,Cable ramificado para Servo Motores (paquete de 5 piezas) - Silicio.mx,Cable ramificado para Servo Motores (paquete de 5 piezas),Grove Branch Cable for Servo(5PCs pack),75,Utilice este cable para conectar dos servo motores al sistema Grove con sólo un cable.,15
ACC51823P,"Cable convertidor de BNC a MCX para Seeed Studio DSO Quad. Usted puede convertir directamente cualquier otra sonda de cualquier otro osciloscopio de almacenamiento digital a otro DSO Quad.
<br><br>BNC to MCX Converter<br>Producto diseñado por: <a href=""http://www.seeedstudio.com""><b>Seeed Studio</b></a><br>Mas información disponible en: <a href=""""><b>Seeed Studio</b></a>Cable convertidor de BNC a MCX para Seeed Studio DSO Quad. Usted puede convertir directamente cualquier otra sonda de cualquier otro osciloscopio de almacenamiento digital a otro DSO Quad.",/a/c/acc51823p.jpg,Seeed Studio,Cable convertidor de BNC a MCX para Seeed Studio DSO Quad. Usted puede convertir directamente cualquier otra sonda de cualquier otro osciloscopio de almacenamiento digital a otro DSO Quad.,Convertidor BNC a MCX - Silicio.mx,Convertidor BNC a MCX,BNC to MCX Converter,36,Cable convertidor de BNC a MCX para Seeed Studio DSO Quad. Usted puede convertir directamente cualquier otra sonda de cualquier otro osciloscopio de almacenamiento digital a otro DSO Quad.,5
ACC60709M," 
	Este Kit Sonda MCX está diseñado para su uso con nuestro <a href=""http://www.seeedstudio.com/depot/preorder-dso-quad-4-channel-digital-storage-oscilloscope-p-736.html?cPath=174"">DSO Quad</a> . Incluye una sonda de 60 MHz profesional con gancho y punta, así como cable de tierra y el anillo marcador. También hay un interruptor para que usted pueda cambiar de modo X1 a modo X10.
 <br> 
	<ul>
<li>
			Capacidad de entrada del osciloscopio 10pF - 40pF
		</li>
		<li>
			Atenuación 1:1 10:1
		</li>
		<li>
			Capacidad de entrada 98pF10% @ 1:1, 33pF4PF @ 10:1
		</li>
		<li>
			Resistencia interna 12Ω10% @ 1:1 9MΩ 1% @ 10:1
		</li>
		<li>
			Ancho de banda de 20 MHz (-3 dB) @ 1:1 60MHZ (3 dB) @ 10:1
		</li>
		<li>
			Max voltage entrada 600V  (AC pp) or 200V (DC + AC pp)
		</li>
	</ul> <br><br><br><br>MCX Probe Kit (X1 X10) for DSO Quad<br>Producto diseñado por: <a href=""http://www.seeedstudio.com""><b>Seeed Studio</b></a><br>Mas información disponible en: <a href=""""><b>Seeed Studio</b></a>Este Kit Sonda MCX está diseñado para su uso con nuestro  . Incluye una sonda de 60 MHz profesional con gancho y punta, así como cable de tierra y el anillo marcador. También hay un interruptor para que usted pueda cambiar de modo X1 a modo X10.",/a/c/acc60709m.jpg,Seeed Studio,"Este Kit Sonda MCX está diseñado para su uso con nuestro  . Incluye una sonda de 60 MHz profesional con gancho y punta, así como cable de tierra y el anillo marcador. También hay un interruptor para que usted pueda cambiar de modo X1 a modo X10.",Kit Sonda MCX (X1 X10) para DSO Quad - Silicio.mx,Kit Sonda MCX (X1 X10) para DSO Quad,MCX Probe Kit (X1 X10) for DSO Quad,330,"Este Kit Sonda MCX está diseñado para su uso con nuestro  . Incluye una sonda de 60 MHz profesional con gancho y punta, así como cable de tierra y el anillo marcador. También hay un interruptor para que usted pueda cambiar de modo X1 a modo X10.",50
ACC71423P,"Es un tablero para sostener los componentes Grove starter bundle, incluidos la pantalla LCD y caja de baterías, arduino, seeedunio y ect.
 
	<br> <br><br><br>Starter Bundle Harness<br>Producto diseñado por: <a href=""http://www.seeedstudio.com""><b>Seeed Studio</b></a><br>Mas información disponible en: <a href=""http://garden.seeedstudio.com/index.php?title=Starter_bundle_harness_V1.0""><b>Seeed Studio</b></a>Es un tablero para sostener los componentes Grove starter bundle, incluidos la pantalla LCD y caja de baterías, arduino, seeedunio y ect.",/a/c/acc71423p.jpg,Seeed Studio,"Es un tablero para sostener los componentes Grove starter bundle, incluidos la pantalla LCD y caja de baterías, arduino, seeedunio y ect.",Arnés Kit - Grove - Silicio.mx,Arnés Kit - Grove,Starter Bundle Harness,65,"Es un tablero para sostener los componentes Grove starter bundle, incluidos la pantalla LCD y caja de baterías, arduino, seeedunio y ect.",20
ACC90144P," 
	Este es un cable para la interfaz <a href=""http://www.seeedstudio.com/depot/bus-pirate-v3-assembled-p-609.html?cPath=174"">Bus Pirate</a> V3, diseñado para conectarse a su header de entradas y salidas de 2x5 pines. El conector del cable está compuesto por dos filas de cinco pines con espaciado de 0.1 pulgadas. El arnés también es polarizado, por lo que el conector de acoplamiento de la tarjeta Pirate Bus sólo se pueda conectarse en un sentido. Las puntas del cable están configuradas con terminaciones hembra para empatarse con los machos de sus proyectos.
 <br><br>El pin-out del conector mostrado está documentado <a href=""http://dangerousprototypes.com/bus-pirate-manual/#ioheader"">aquí</a>.
 <br><br><br>Bus Pirate Cable<br>Producto diseñado por: <a href=""https://www.google.com/search?q=Otros+-+Seeed+Studio""><b>Otros - Seeed Studio</b></a><br>Mas información disponible en: <a href=""""><b>Seeed Studio</b></a>Este es un cable para la interfaz  V3, diseñado para conectarse a su header de entradas y salidas de 2x5 pines. El conector del cable está compuesto por dos filas de cinco pines con espaciado de 0.1 pulgadas. El arnés también es polarizado, por lo que",/a/c/acc90144p.jpg,Otros - Seeed Studio,"Este es un cable para la interfaz  V3, diseñado para conectarse a su header de entradas y salidas de 2x5 pines. El conector del cable está compuesto por dos filas de cinco pines con espaciado de 0.1 pulgadas. El arnés también es polarizado, por lo que",Cable de Bus Pirate - Silicio.mx,Cable de Bus Pirate,Bus Pirate Cable,100,"Este es un cable para la interfaz  V3, diseñado para conectarse a su header de entradas y salidas de 2x5 pines. El conector del cable está compuesto por dos filas de cinco pines con espaciado de 0.1 pulgadas. El arnés también es polarizado, por lo que el conector de acoplamiento de la tarjeta Pirate Bus sólo se pueda conectarse en un sentido.",9
ACC90453O," 
	El cable universal de 4 pines Buckled se hace para el <a href=""http://www.seeedstudio.com/depot/index.php?main_page=advanced_search_result&amp;search_in_description=1&amp;keyword=grovefamily"">Sistema Grove</a> para conectar todas las ramas de la <a href=""http://www.seeedstudio.com/depot/stem-base-shield-p-754.html?cPath=132_134"">Stem - Basic Shield</a> o a otras placas Twig para prototipado rápido compatibles. Como muchos de los usuarios piden diferente longitud de cables, hicimos cables de 5cm, 20cm, 30cm, 40cm, 50cm y para diferentes aplicaciones.
 <br><br>El cable de 20 cm se encuentra incluido en el <a href=""http://www.seeedstudio.com/depot/grove-starter-bundle-p-709.html?cPath=138"">Grove - Starter Bundle</a> .
 <br><br><br>Grove - Universal 4 Pin Buckled 20cm Cable (5 PCs pack)<br>Producto diseñado por: <a href=""https://www.google.com/search?q=Otros+-+Seeed+Studio""><b>Otros - Seeed Studio</b></a><br>Mas información disponible en: <a href=""""><b>Seeed Studio</b></a>El cable universal de 4 pines Buckled se hace para el  para conectar todas las ramas de la  o a otras placas Twig para prototipado rápido compatibles.",/a/c/acc90453o.jpg,Otros - Seeed Studio,El cable universal de 4 pines Buckled se hace para el  para conectar todas las ramas de la  o a otras placas Twig para prototipado rápido compatibles.,Grove - Universal 4 Pin Buckled 20cm Cable (5 uds) - Silicio.mx,Grove - Universal 4 Pin Buckled 20cm Cable (5 uds),Grove - Universal 4 Pin Buckled 20cm Cable (5 PCs pack),47,El cable universal de 4 pines Buckled se hace para el  para conectar todas las ramas de la  o a otras placas Twig para prototipado rápido compatibles.,36
CAB113C4O," 
	Éste es un paquete de 5 piezas de arneses para puentear una conexión de hasta 10 centímetros de distancia, el arnés tiene entradas hembra en ambas puntas y sirve para conectar 4 pines de 2.54 hasta 2.0 mm de separación.
 <br><br><br><br>4 pin 2.54mm to 2.0mm Female jumper wire -100mm (5PCs pack)<br>Producto diseñado por: <a href=""https://www.google.com/search?q=Otros+-+Seeed+Studio""><b>Otros - Seeed Studio</b></a><br>Mas información disponible en: <a href=""""><b>Seeed Studio</b></a>Éste es un paquete de 5 piezas de arneses para puentear una conexión de hasta 10 centímetros de distancia, el arnés tiene entradas hembra en ambas puntas y sirve para conectar 4 pines de 2.54 hasta 2.0 mm de separación.",/c/a/cab113c4o.jpg,Otros - Seeed Studio,"Éste es un paquete de 5 piezas de arneses para puentear una conexión de hasta 10 centímetros de distancia, el arnés tiene entradas hembra en ambas puntas y sirve para conectar 4 pines de 2.54 hasta 2.0 mm de separación.","Arnés puente Hembra para 4 pines de 2.54mm hasta 2.00 mm (10 cm largo, paquete de 5) - Silicio.mx","Arnés puente Hembra para 4 pines de 2.54mm hasta 2.00 mm (10 cm largo, paquete de 5)",4 pin 2.54mm to 2.0mm Female jumper wire -100mm (5PCs pack),53,"Éste es un paquete de 5 piezas de arneses para puentear una conexión de hasta 10 centímetros de distancia, el arnés tiene entradas hembra en ambas puntas y sirve para conectar 4 pines de 2.54 hasta 2.0 mm de separación.",22
COM22458P,"Este es un simple pero agradable Twig para usar. El piezo se puede conectar a las salidas digitales, y emitir un tono cuando la salida es alta. Alternativamente puede ser conectado a una salida de modulación de ancho de impulso analógico para generar varios tonos y efectos.
 
 <br><br><br><br>Grove - Buzzer<br>Producto diseñado por: <a href=""http://www.seeedstudio.com""><b>Seeed Studio</b></a><br>Mas información disponible en: <a href=""http://www.seeedstudio.com/wiki/index.php?title=GROVE_-_Starter_Kit_v1.1b#Grove_-_Buzzer""><b>Seeed Studio</b></a>Este es un simple pero agradable Twig para usar. El piezo se puede conectar a las salidas digitales, y emitir un tono cuando la salida es alta. Alternativamente puede ser conectado a una salida de modulación de ancho de impulso analógico para generar ",/c/o/com22458p.jpg,Seeed Studio,"Este es un simple pero agradable Twig para usar. El piezo se puede conectar a las salidas digitales, y emitir un tono cuando la salida es alta. Alternativamente puede ser conectado a una salida de modulación de ancho de impulso analógico para generar ",Grove - Buzzer - Silicio.mx,Grove - Buzzer,Grove - Buzzer,47,"Este es un simple pero agradable Twig para usar. El piezo se puede conectar a las salidas digitales, y emitir un tono cuando la salida es alta. Alternativamente puede ser conectado a una salida de modulación de ancho de impulso analógico para generar varios tonos y efectos.",3
COM22735P,"
<p>
	El potenciómetro twig produce una salida analógica entre 0 y Vcc (5V DC con Seeeduino) del conector D1. El conector D2 no se utiliza. El rango angular es 300 grados con un cambio lineal del valor. El valor de la resistencia es 10k ohmios, ideal para su uso con Arduino. Este dispositivo también puede ser conocido como un sensor de ángulo de giro. 
</p>
<p>
	<b>Documentos</b> 
</p>
<ul>
<li>
		<a href=""http://www.seeedstudio.com/wiki/GROVE_-_Starter_Kit_v1.1b#Grove_-_Rotary_Angle_Sensor"">Cómo utilizar</a> 
	</li>
</ul><br><br>Grove - Rotary Angle Sensor<br>Producto diseñado por: <a href=""http://www.seeedstudio.com""><b>Seeed Studio</b></a><br>Mas información disponible en: <a href=""http://www.seeedstudio.com/wiki/GROVE_-_Starter_Kit_v1.1b#Grove_-_Rotary_Angle_Sensor""><b>Seeed Studio</b></a>El potenciómetro twig produce una salida analógica entre 0 y Vcc (5V DC con Seeeduino) del conector D1. El conector D2 no se utiliza. El rango angular es 300 grados con un cambio lineal del valor. El valor de la resistencia es 10k ohmios, ideal para s",/c/o/com22735p.jpg,Seeed Studio,"El potenciómetro twig produce una salida analógica entre 0 y Vcc (5V DC con Seeeduino) del conector D1. El conector D2 no se utiliza. El rango angular es 300 grados con un cambio lineal del valor. El valor de la resistencia es 10k ohmios, ideal para s",Grove - Sensor de ángulo de giro - Silicio.mx,Grove - Sensor de ángulo de giro,Grove - Rotary Angle Sensor,42,"El potenciómetro twig produce una salida analógica entre 0 y Vcc (5V DC con Seeeduino) del conector D1. El conector D2 no se utiliza. El rango angular es 300 grados con un cambio lineal del valor. El valor de la resistencia es 10k ohmios, ideal para su uso con Arduino. Este dispositivo también puede ser conocido como un sensor de ángulo de giro.",5
