SKU,Imagen,Nombre,Precio,Descripci�n,Peso
ACC101A1B,/a/c/acc101a1b.jpg,Recinto para Seeeduino Espía v2, $81.00 ,"Este recinto es compatible con el , diseño a prueba de agua, resistente. Puede montar su Seeeduino Espía v2 a este recinto con muchos otros sensores. También tiene un techo transparente por lo que incluso puede colocar una celda solar.
Los tornillos necesarios están incluidos.",100
ACC12159O,/a/c/acc12159o.jpg,Cable ramificado para Servo Motores (paquete de 5 piezas), $75.00 ,Utilice este cable para conectar dos servo motores al sistema Grove con sólo un cable.,15
ACC51823P,/a/c/acc51823p.jpg,Convertidor BNC a MCX, $36.00 ,Cable convertidor de BNC a MCX para Seeed Studio DSO Quad. Usted puede convertir directamente cualquier otra sonda de cualquier otro osciloscopio de almacenamiento digital a otro DSO Quad.,5
ACC60709M,/a/c/acc60709m.jpg,Kit Sonda MCX (X1 X10) para DSO Quad, $330.00 ,"Este Kit Sonda MCX está diseñado para su uso con nuestro  . Incluye una sonda de 60 MHz profesional con gancho y punta, así como cable de tierra y el anillo marcador. También hay un interruptor para que usted pueda cambiar de modo X1 a modo X10.",50
ACC71423P,/a/c/acc71423p.jpg,Arnés Kit - Grove, $65.00 ,"Es un tablero para sostener los componentes Grove starter bundle, incluidos la pantalla LCD y caja de baterías, arduino, seeedunio y ect.",20
ACC90144P,/a/c/acc90144p.jpg,Cable de Bus Pirate, $100.00 ,"Este es un cable para la interfaz  V3, diseñado para conectarse a su header de entradas y salidas de 2x5 pines. El conector del cable está compuesto por dos filas de cinco pines con espaciado de 0.1 pulgadas. El arnés también es polarizado, por lo que el conector de acoplamiento de la tarjeta Pirate Bus sólo se pueda conectarse en un sentido.",9
ACC90453O,/a/c/acc90453o.jpg,Grove - Universal 4 Pin Buckled 20cm Cable (5 uds), $47.00 ,El cable universal de 4 pines Buckled se hace para el  para conectar todas las ramas de la  o a otras placas Twig para prototipado rápido compatibles.,36
CAB113C4O,/c/a/cab113c4o.jpg,"Arnés puente Hembra para 4 pines de 2.54mm hasta 2.00 mm (10 cm largo, paquete de 5)", $53.00 ,"Éste es un paquete de 5 piezas de arneses para puentear una conexión de hasta 10 centímetros de distancia, el arnés tiene entradas hembra en ambas puntas y sirve para conectar 4 pines de 2.54 hasta 2.0 mm de separación.",22
COM22458P,/c/o/com22458p.jpg,Grove - Buzzer, $47.00 ,"Este es un simple pero agradable Twig para usar. El piezo se puede conectar a las salidas digitales, y emitir un tono cuando la salida es alta. Alternativamente puede ser conectado a una salida de modulación de ancho de impulso analógico para generar varios tonos y efectos.",3
COM22735P,/c/o/com22735p.jpg,Grove - Sensor de ángulo de giro, $42.00 ,"El potenciómetro twig produce una salida analógica entre 0 y Vcc (5V DC con Seeeduino) del conector D1. El conector D2 no se utiliza. El rango angular es 300 grados con un cambio lineal del valor. El valor de la resistencia es 10k ohmios, ideal para su uso con Arduino. Este dispositivo también puede ser conocido como un sensor de ángulo de giro.",5
COM22863P,/c/o/com22863p.jpg,Grove - Interruptor de inclinación, $32.00 ,"La TWIG interruptor de inclinación es el equivalente a un botón, y se utiliza como una entrada digital. Cuando el interruptor se encuentra a nivel está abierto, y cuando se inclina, el interruptor se cierra. Está conectado a la línea de SIG, NC no se usa en esta rama. Hay una resistencia de montaje en superficie.",3
CAB109C4O,/c/a/cab109c4o.jpg,Jumper 8 pines hembra-hembra (5 piezas), $82.00 ,"Cable 150mm
",26
CNE112D1P,/c/n/cne112d1p.jpg,Paquete convertidor de alimentación 6 en 1, $68.00 ,"Lista del paquete:
",41
ACC18132P,/a/c/acc18132p.jpg,Rainbow Cube Kit arnés Acrílico, $245.00 ,"Rainbow Cube Kit Acrylic Harness es una caja de acrílico exquisito, transparente y fácil de ensamblar elaborada para Rainbow Cube Kit, está diseñado por Riley Porter @Synthetos. Este arnés está hecho de seis piezas planas de acrílico, dos bolsas de llaves, cuatro columnas de plastico de 16 mm de alto y varias tuercas y tornillos.
Para obtener instrucciones de montaje, por favor visite .",260
ACC39145O,/a/c/acc39145o.jpg,Grove - Conector universal de 4 pines, $15.00 ,"Grove - Conector universal de 4 pines es el conector de broche blanco de 4 clavijas utilizado en los cables Twigs, Grove y Stem, el espacio entre pines es de 2 mm. Hay 10 conectores por bolsa.",3
ACC53193P,/a/c/acc53193p.jpg,Sonda Digital para DSO Quad, $47.00 ,Éste producto trata de una sonda digital para DSO Quad (El CHC y la EC son canales digitales).,10
ARD01163M,/a/r/ard01163m.jpg,Shield de Arduino Ethernet Rev3 con Módulo PoE," $1,210.00 ",El Shield de Arduino Ethernet permite a una tarjeta Arduino conectarse a internet. Se basa en el chip de ethernet  ().,41
ARD101C4O,/a/r/ard101c4o.jpg,Convertidor de conector de DC a JST de 2 pines, $15.00 ,"Conector de 2 clavijas JST de 2,54 mm entre pines compatible con el conector de alimentación Seeeduino!
",6
ARD104D2P,/a/r/ard104d2p.jpg,Seeeduino Stalker V2, $650.00 ,"El Seeeduino Stalker V2 es un nodo sensor de red inalámbrico compatible con Arduino. Su estructura modular y periféricos incorporados lo hacen conveniente para almacenar periódicamente los datos que el sensor capture. El Seeeduino Stalker V2 es un buen candidato para todos tus proyectos de rastreo, monitoreo y control..",30
ARD105B1P,/a/r/ard105b1p.jpg,Danger Shield - kit , $365.00 ,"El Danger Shield es un complemento para el [  ]. Contiene una gran variedad de circuitos electrónicos útiles y divertidos que se pueden utilizar para hacer cosas divertidas y útiles. Es una placa totalmente autónoma. Usted sólo lo conecta a su Arduino, e inmediatamente podrá comenzar a utilizarlo. No requiere de componenets extras para conectarlo, sin componentes externos.",56
ARD107B1P,/a/r/ard107b1p.jpg,Freeduino USB - KIT , $325.00 ,"El Freeduino USB es un Kit completo que incluye todos los componentes necesarios para montar un Freeduino. Y ahora el Freeduino USB Kit viene con un conector mini USB-B pre-soldado a la PCB y el microcontrolador Atmega 328.
El chip FT232RL es igualmente pre-soldado, eliminando el componente más difícil de soldar. El resto de los componentes son fáciles de soldar por agujero pasante.",29
ARD121D2P,/a/r/ard121d2p.jpg,Seeeduino Mega, $550.00 ,"En la búsqueda de un factor de tamaño pequeño, flexibilidad y funcionalidad viene Seeeduino Mega, derivado del Arduino Mega, que aprovecha el poder del Atmega2560 para darle vida a su experiencia en la construcción del proyecto.",25
CAB102C4O,/c/a/cab102c4o.jpg,Cable de pines hembra-hembra 100mm - 50 piezas, $93.00 ,50 cables de pines hembra hembra para que conectes los headers directamente entre sí.,30
ACC08273P,/a/c/acc08273p.jpg,Atenuador SMA - 30dB, $375.00 ,"Los atenuadores de SMA se utilizan para reducir la potencia de entrada, y por lo tanto permitir que el Explorador de RF pueda medir señales más fuertes. También se utiliza para proteger el puerto de entrada SMA del Explorador RF cuando fuertes señales desconocidas pueden estar en el medio ambiente, asi que puede utilizar este atenuador en demanda. Usted fácilmente puede desconectar el atenuador cuando la medición este diseñada para señales débiles.",5
ACC08275B,/a/c/acc08275b.jpg,Adaptador Bluetooth USB, $165.00 ,"El Bluetooth se ha convertido en una tecnología de intercambio de datos inalámbrico que no podemos imaginar una vida sin él. Existe en casi todos nuestros aparatos electrónicos portátiles como los teléfonos móviles, auriculares manos libres y algunos ordenadores. Es una tecnología perfecta para los dispositivos digitales que no tienen una piscina enorme de poder para compartir sus datos convenientemente.",3
ACC13132B,/a/c/acc13132b.jpg,Caja de plastico de 56x110x160mm, $180.00 ,"Un caso fuerte! Con un cinturón negro entre su tapa superior, se parece a una cabeza armada de un robot! ¿Por qué no le pones dos ojos láser y lo conviertes en un arma temible! Dentro de la caja, hemos establecido dos ganchos de fuerza para que sujete sus circuitos. Y tada, un gran agujero ha sido cortado para un avanzado caso o para los periféricos.",180
ACC13134B,/a/c/acc13134b.jpg,Caja de plástico de 43x79x95mm, $105.00 ,"Su proyecto parece un lío? ¿Estás listo para obtener un recinto limpio y hermoso? Estamos muy contentos de decirles que nueve tipos de cajas de proyecto están en el estante ahora! Tienen diferentes tamaños y colores, para asegurarse de que usted pueda encontrar uno que se adapte a su proyecto al 100%.",80
ACC1313TB,/a/c/acc1313tb.jpg,Caja de plástico claro de 60x90x120mm, $295.00 ,"Su proyecto parece un lío? ¿Estás listo para obtener un recinto limpio y hermoso? Estamos muy contentos de decirles que nueve tipos de cajas de proyecto están en el estante ahora! Tienen diferentes tamaños y colores, para asegurarse de que usted pueda encontrar una que se adapte a su proyecto al 100%.",150
ACC13148B,/a/c/acc13148b.jpg,Caja de plástico de 22x37x65mm, $69.00 ,"De todas las 9 cajas que liberamos últimamente, ésta pertenece a las más pequeñas, así como HF-N-23 y HF-N 5-. HF-N-48 tiene un diseño especial. Tiene tres orificios cuadrados, uno en un lado y dos en el otro lado, y dos agujeros redondos, uno por lado. Puede mantener su circuito en el caso y llevar a cabo las líneas de conexión a través de esos orificios cuadrados.",17
ACC1319TB,/a/c/acc1319tb.jpg,Caja plástica transparente 55x145x222 mm (A prueba de agua), $455.00 ,"¡Otra versión mejorada! Esta caja es la hermana mayor de la . Con una cubierta de cristal superior más ancha y de gran capacidad, es lo absolutamente suficiente y grande como para sostener un proyecto a prueba de agua, incluso con una pantalla de visualización. Aquí están algunos detalles sobre esta caja.",350
ACC131N5B,/a/c/acc131n5b.jpg,Caja de Plastico de 15x35x58 mm, $69.00 ,"Una caja blanca pura! Nada se esconde ni siquiera agujeros para tornillos. Cuando está cerrada, no se ve como una caja porque la parte superior coincide con el fondo perfectamente.",12
ACC13N32B,/a/c/acc13n32b.jpg,Contenedor plástico 39x63x102 mm, $105.00 ,"Éste contenedor es una versión mas grande que el otro contenedor para uso general HF-N-7. Ambos tienen cosas en común, como su estilo simple y que se puede acoplar a múltiples usos distintos.",56
